"","entity_id","name","min"
"408","1629675","Naz Reid",1002.33333333333
"409","1629676","Isaiah Roby",1136
"410","1629677","Luka Samanic",178
"411","1629678","Admiral Schofield",398
"412","1629680","Matisse Thybulle",1397
"413","1629681","Killian Tillie",321.5
"414","1629682","Tremont Waters",178.5
"415","1629683","Quinndary Weatherspoon",89.3333333333333
"416","1629684","Grant Williams",1324.66666666667
"417","1629685","Dylan Windler",476
"418","1629686","Deividas Sirvydis",133
"419","1629690","Adam Mokoka",112
"420","1629713","Justin James",271
"421","1629714","Jarrell Brantley",117
"422","1629717","Armoni Brooks",665.5
"424","1629718","Charlie Brown Jr.",165
"425","1629719","Devontae Cacok",96
"426","1629723","John Konchar",656
"427","1629724","Vic Law",62
"428","1629725","Jeremiah Martin",87
"429","1629726","Garrison Mathews",965.666666666667
"430","1629730","Rayjon Tucker",114.5
"431","1629731","Dean Wade",754.333333333333
"432","1629735","Chris Silva",176.333333333333
"433","1629738","Vincent Poirier",130
"434","1629740","Nicolo Melli",804
"435","1629741","Marko Guduric",484
"436","1629743","Donta Hall",156
"437","1629744","Matt Thomas",408.666666666667
"438","1629750","Javonte Green",787.666666666667
"439","1629751","Dakota Mathias",123
"440","1629752","Juwan Morgan",140.5
"441","1629755","Hassani Gravett",171
"442","1629833","Keljin Blevins",183
"443","1629875","Xavier Moon",105
"444","1629962","Devin Cannady",74
"445","1630162","Anthony Edwards",2345
"446","1630163","LaMelo Ball",1882
"447","1630164","James Wiseman",836
"448","1630165","Killian Hayes",1124.5
"449","1630166","Deni Avdija",1557.5
"450","1630167","Obi Toppin",895.5
"451","1630168","Onyeka Okongwu",756
"452","1630169","Tyrese Haliburton",2163.5
"453","1630170","Devin Vassell",1448.5
"454","1630171","Isaac Okoro",2039.5
"455","1630172","Patrick Williams",1140
"456","1630173","Precious Achiuwa",1179.5
"457","1630174","Aaron Nesmith",605
"458","1630175","Cole Anthony",1666
"459","1630176","Vernon Carey Jr.",115
"460","1630177","Theo Maledon",1343
"461","1630178","Tyrese Maxey",1728
"462","1630180","Saddiq Bey",2267
"463","1630181","R.J. Hampton",1096
"464","1630182","Josh Green",714.5
"465","1630183","Jaden McDaniels",1630
"466","1630184","Kira Lewis Jr.",622.5
"467","1630185","Nico Mannion",364
"468","1630186","Jahmi'us Ramsey",114
"469","1630187","Daniel Oturu",161
"470","1630188","Jalen Smith",525.5
"471","1630189","Tyler Bey",71
"472","1630190","Elijah Hughes",215.5
"473","1630191","Isaiah Stewart",1601.5
"474","1630192","Zeke Nnaji",534
"475","1630193","Immanuel Quickley",1470.5
"476","1630194","Paul Reed",218.5
"477","1630195","Leandro Bolmaro",223
"478","1630197","Aleksej Pokusevski",1161.5
"479","1630198","Isaiah Joe",477.5
"480","1630199","Cassius Stanley",124
"481","1630200","Tre Jones",650.5
"482","1630201","Malachi Flynn",703.5
"483","1630202","Payton Pritchard",1108.5
"484","1630205","Lamar Stevens",728
"485","1630206","Jay Scrubb",102.5
"486","1630207","Nate Hinton",93
"487","1630208","Nick Richards",211
"488","1630209","Omer Yurtseven",655
"489","1630210","Markus Howard",177
"490","1630211","Karim Mane",88
"491","1630214","Xavier Tillman",861
"492","1630215","Jared Butler",304
"493","1630216","Cassius Winston",98
"494","1630217","Desmond Bane",1852.5
"495","1630219","Skylar Mays",242.5
"496","1630221","Josh Hall",336
"497","1630222","Mason Jones",334
"498","1630223","Jalen Harris",172
"499","1630224","Jalen Green",2021
"500","1630227","Daishen Nix",240
"501","1630228","Jonathan Kuminga",1126
"502","1630230","Naji Marshall",681
"503","1630231","Kenyon Martin Jr.",1332.5
"504","1630233","Nathan Knight",265
"505","1630235","Trent Forrest",527.5
"506","1630237","Anthony Lamb",415
"507","1630240","Saben Lee",667.5
"508","1630241","Sam Merrill",233
"509","1630243","Trevelin Queen",74
"510","1630245","Ayo Dosunmu",1990
"511","1630249","Vit Krejci",551
"512","1630253","Sean McDermott",158
"513","1630256","Jae'Sean Tate",2007
"514","1630264","Anthony Gill",316.5
"515","1630267","Facundo Campazzo",1299
"516","1630271","Brodric Thomas",399
"517","1630273","Freddie Gillespie",255.5
"518","1630288","Jeff Dowtin",108
"519","1630296","Braxton Key",136
"520","1630314","Brandon Williams",567
"521","1630322","Lindy Waters III",434
"522","1630466","Gabriel Deck",212
"523","1630526","Jeremiah Robinson-Earl",1071
"524","1630527","Brandon Boston Jr.",722
"525","1630528","Josh Christopher",1254
"526","1630529","Herbert Jones",2259
"527","1630530","Trey Murphy III",785
"528","1630532","Franz Wagner",2422
"529","1630533","Ziaire Williams",1243
"530","1630535","Greg Brown III",548
"531","1630537","Chris Duarte",1541
"532","1630538","Bones Hyland",1248
"533","1630540","Miles McBride",347
"534","1630541","Moses Moody",586
"535","1630543","Isaiah Jackson",454
"536","1630544","Tre Mann",1367
"537","1630547","James Bouknight",296
"538","1630549","Day'Ron Sharpe",391
"539","1630550","JT Thor",246
"540","1630551","Justin Champagnie",274
"541","1630552","Jalen Johnson",111
"542","1630553","Keon Johnson",564
"543","1630556","Kessler Edwards",882
"544","1630557","Corey Kispert",1686
"545","1630558","Davion Mitchell",1958
"546","1630559","Austin Reaves",1284
"547","1630560","Cam Thomas",1145
"548","1630561","David Duke Jr.",340
"549","1630563","Joshua Primo",860
"550","1630567","Scottie Barnes",2486
"551","1630568","Luka Garza",358
"552","1630570","Trendon Watford",869
"553","1630572","Sandro Mamukelashvili",354
"554","1630573","Sam Hauser",125
"555","1630578","Alperen Sengun",1386
"556","1630579","Jericho Sims",447
"557","1630580","Joe Wieskamp",162
"558","1630581","Josh Giddey",1700
"559","1630583","Santi Aldama",319
"560","1630585","Marcus Garrett",128
"561","1630586","Usman Garuba",199
"562","1630587","Isaiah Livers",315
"563","1630591","Jalen Suggs",1273
"564","1630595","Cade Cunningham",2011
"565","1630596","Evan Mobley",2274
"566","1630598","Aaron Wiggins",1209
"567","1630602","Chaundee Brown Jr.",104
"568","1630606","Javonte Smart",164
"569","1630613","Duane Washington Jr.",901
"570","1630625","Dalano Banton",691
"571","1630631","Jose Alvarado",752
"572","1630678","Terry Taylor",632
"573","1630688","Ish Wainright",301
"574","1630691","Jamorko Pickett",133
"575","1630698","Kevin Pangos",166
"576","1630758","Aleem Ford",74
"577","1630792","Malcolm Hill",197
"578","1630846","Olivier Sarr",382
"579","1713","Vince Carter",1077.33333333333
"580","1717","Dirk Nowitzki",1347.5
"581","1891","Jason Terry",814
"582","1938","Manu Ginobili",1299
"583","200746","LaMarcus Aldridge",1730.2
"584","200752","Rudy Gay",1374.6
"585","200755","JJ Redick",1699.75
"586","200757","Thabo Sefolosha",617
"587","200765","Rajon Rondo",1095.4
"588","200768","Kyle Lowry",2104.8
"590","200782","PJ Tucker",2541.5
"591","200794","Paul Millsap",1163.4
"592","200826","J.J. Barea",935
"593","201142","Kevin Durant",2017.5
"594","201143","Al Horford",1801.8
"595","201144","Mike Conley",1508.2
"596","201145","Jeff Green",1703.6
"597","201147","Corey Brewer",577.666666666667
"598","201148","Brandan Wright",381
"599","201149","Joakim Noah",261
"600","201152","Thaddeus Young",1818.8
"601","201156","Nick Young",715
